target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,classification
https://newsghana.com.gh/documentaries-popular-among-young-chinese,2022-08-17,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0817/c90000-10136115.html,2022-08-17,en.people.cn,0.7222222222222222,People's Daily Online Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-sees-rapid-development-of-logistics-equipment-manufacturing,2022-09-20,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0920/c90000-10149380.html,2022-09-20,en.people.cn,0.8148148148148148,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/u-s-the-one-changing-status-quo-in-taiwan-strait,2022-08-22,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0819/c90000-10137039.html,2022-08-19,en.people.cn,0.6363636363636364,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/japan-will-wander-onto-dangerous-wrong-path-if-it-tries-to-turn-back-wheel-of-history,2022-08-16,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0816/c90000-10135640.html,2022-08-16,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-sees-vigorous-development-of-its-manufacturing-industry-over-past-10-years,2022-09-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0922/c90000-10150355.html,2022-09-22,en.people.cn,0.7142857142857143,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinese-enterprises-prosper-in-overseas-market,2022-11-28,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1128/c90000-10177261.html,2022-11-28,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-maintains-worlds-largest-manufacturing-hub-for-12-consecutive-years,2022-03-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0313/c90000-9970450.html,2022-03-13,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-poverty-alleviation-efforts-of-global-significance-cambodian-official,2022-08-26,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0824/c90000-10138798.html,2022-08-24,en.people.cn,0.8214285714285714,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-express-delivery-sector-picks-up-shows-market-potential,2022-09-06,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0906/c90000-10143805.html,2022-09-06,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/south-african-official-calls-for-brics-to-strengthen-solidarity,2022-06-05,newsghana.com.gh,Xinhua,https://english.news.cn/20220605/bd27b04ed25c4d858fca5bd57dd9f479/c.html,2022-06-05,english.news.cn,0.5333333333333333,Xinhua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/hong-kong-poised-for-greater-success-under-one-country-two-systems,2022-06-28,newsghana.com.gh,Xinhua,https://english.news.cn/20220628/223fb4627ddc40b9a7bcbeca045f47b3/c.html,2022-06-28,english.news.cn,0.7692307692307693,Xinhua,http://en.people.cn/n3/2022/0629/c90000-10116296.html,2022-06-29,en.people.cn,0.7692307692307693,Xinhua,https://www.chinadaily.com.cn/a/202206/30/WS62bd0007a310fd2b29e69788.html,2022-06-30,chinadaily.com.cn,0.7692307692307693,Xinhua,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-ramps-up-efforts-to-refund-vat-credits-to-enterprises,2022-09-06,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0906/c90000-10143797.html,2022-09-06,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/artificial-intelligence-makes-scientific-studies-smarter,2022-10-22,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1025/c90000-10163013.html,2022-10-25,en.people.cn,0.6785714285714286,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/enhancing-strategic-autonomy-serves-interests-of-europe,2022-05-10,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0510/c90000-10094388.html,2022-05-10,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/hangzhou-striving-to-make-manufacturing-more-intelligent,2022-05-17,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0517/c90000-10097699.html,2022-05-17,en.people.cn,0.7619047619047619,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/un-resolution-2758-brooks-no-misrepresentation,2022-04-19,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0419/c90000-10085728.html,2022-04-19,en.people.cn,0.6923076923076923,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-new-urban-infrastructure-construction-makes-urban-governance-peoples-life-easier,2022-05-18,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0518/c90000-10098052.html,2022-05-18,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/second-hainan-expo-reveals-increasingly-stronger-appeal-of-chinese-market,2022-08-03,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0803/c90000-10130607.html,2022-08-03,en.people.cn,0.7916666666666666,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-obtains-global-gravity-field-data-using-home-made-satellite-for-first-time,2022-03-14,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0311/c90000-9969646.html,2022-03-11,en.people.cn,0.7368421052631579,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/prospering-ports-contribute-strength-to-chinas-foreign-trade-sector,2022-09-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0910/c90000-10145631.html,2022-09-10,en.people.cn,0.7619047619047619,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/tibet-autonomous-region-fosters-new-growth-areas-of-foreign-trade,2022-04-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0413/c90000-10083215.html,2022-04-13,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/science-and-technology-backyards-help-drive-talent-development-in-chinas-rural-areas,2022-04-14,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0414/c90000-10083911.html,2022-04-14,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
