target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification,country,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,Country
https://newsghana.com.gh/u-s-exports-inflation-slows-global-recovery,2022-10-04,newsghana.com.gh,People's Daily,http://www.chinadaily.com.cn/a/202210/09/WS6342604ba310fd2b29e7b679.html,2022-10-09,chinadaily.com.cn,0.7391304347826086,People's Daily,https://www.chinadaily.com.cn/a/202210/09/WS6342604ba310fd2b29e7b679.html,2022-10-09,chinadaily.com.cn,0.7391304347826086,People's Daily,http://en.people.cn/n3/2022/1004/c90000-10154751.html,2022-10-04,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/u-s-fallacies-about-taiwan-question-reveal-extortionist-logic,2022-08-24,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0821/c90000-10137669.html,2022-08-21,en.people.cn,0.8214285714285714,People's Daily,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/digital-technology-turns-century-old-chinese-grottoes-vibrant,2022-07-05,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0702/c90000-10118107.html,2022-07-02,en.people.cn,0.7,People's Daily,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/digitalization-helps-floral-industry-in-yunnan-thrive,2022-02-25,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0225/c90000-9962916.html,2022-02-25,en.people.cn,0.7727272727272727,People's Daily,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/foreign-sliding-sports-expert-beijing-2022-brings-more-confidence-courage-warmth-to-world,2022-02-16,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0216/c90000-9958506.html,2022-02-16,en.people.cn,0.7692307692307693,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-yunnan-province-makes-progress-in-protection-of-asian-elephants,2022-10-11,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1011/c90000-10156637.html,2022-10-11,en.people.cn,0.7916666666666666,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-committed-to-building-asia-pacific-community-with-shared-future,2022-11-21,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1121/c90000-10174132.html,2022-11-21,en.people.cn,0.8275862068965517,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/xi-always-bears-chinese-people-in-mind,2022-10-08,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1008/c90000-10155241.html,2022-10-08,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/full-text-chinese-president-xi-jinpings-keynote-speech-at-the-opening-ceremony-of-bfa-annual-conference-202,2022-04-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0421/c90000-10087028.html,2022-04-21,en.people.cn,0.76,Xinhua,https://www.chinadaily.com.cn/a/202204/21/WS6260db59a310fd2b29e585e3.html,2022-04-21,chinadaily.com.cn,0.76,Xinhua,http://www.chinadaily.com.cn/a/202204/21/WS6260db59a310fd2b29e585e3.html,2022-04-21,chinadaily.com.cn,0.76,Xinhua,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/beijing-2022-ice-master-remy-boehler-the-world-will-see-spectacular-competitions,2022-02-11,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0211/c90000-9956395.html,2022-02-11,en.people.cn,0.7619047619047619,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-wuhan-to-host-14th-cop-meeting-on-wetland-conservation-in-november,2022-08-11,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0811/c90000-10134193.html,2022-08-11,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-sees-rising-passion-for-guochao-consumption,2022-08-22,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0821/c90000-10137670.html,2022-08-21,en.people.cn,0.7619047619047619,People's Daily,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-makes-positive-contributions-to-safeguarding-global-food-security,2022-06-09,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0609/c90000-10107437.html,2022-06-09,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/technology-gives-a-leg-up-to-smart-transportation,2022-08-26,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0825/c90000-10139411.html,2022-08-25,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/cycling-event-in-nw-chinas-qinghai-province-stimulates-integrated-local-development,2022-07-29,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0729/c90000-10128879.html,2022-07-29,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-enhances-protection-over-blocks-of-historical-cultural-value,2022-03-18,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0318/c90000-9972873.html,2022-03-18,en.people.cn,0.7692307692307693,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-intensifies-efforts-to-promote-prefabricated-construction,2022-02-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0212/c90000-9956919.html,2022-02-12,en.people.cn,0.7142857142857143,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-beidou-reaches-world-leading-level-white-paper,2022-11-05,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1107/c90000-10168171.html,2022-11-07,en.people.cn,0.6875,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-hefei-builds-world-leading-high-tech-zone,2022-11-28,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1128/c90000-10176975.html,2022-11-28,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/cpc-kicks-off-20th-national-congress-opening-up-new-prospects-for-socialism-with-chinese-characteristics,2022-10-19,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1019/c90000-10160848.html,2022-10-19,en.people.cn,0.85,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-is-ready-to-work-with-all-countries-to-practice-true-multilateralism-build-more-consensus-for-openness,2022-11-08,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1107/c90000-10168007.html,2022-11-07,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/bri-a-great-undertaking-that-benefits-people-of-all-participating-countries,2022-09-14,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0914/c90000-10146650.html,2022-09-14,en.people.cn,0.7391304347826086,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
